observation_strategy,method,dimension,covariance_frobenius_error_mean,covariance_frobenius_error_std,n_runs
deep,block_gibbs,40,7.0510409765261155,17.071984269465883,80
deep,rw_mh,40,32.46070078967843,28.48449201611494,80
deep,single_site_gibbs,40,5.957110290054428,7.969579550873877,80
shallow,block_gibbs,40,23.57099945417859,18.33638296402784,80
shallow,rw_mh,40,86.0322852095805,40.11160183239176,80
shallow,single_site_gibbs,40,26.622443944837613,21.312410309144667,80
uniform,block_gibbs,40,13.896326308840951,25.443530747011614,80
uniform,rw_mh,40,53.040316119562036,32.10919932632288,80
uniform,single_site_gibbs,40,12.62297665482995,12.515216236605456,80
