graph_type,method,repetition,dimension,depth,sparsity,correlation,observed_fraction,observation_strategy,n_observed,n_latent,runtime_seconds,ess_mean,ess_min,ess_max,mean_rmse,variance_rmse,covariance_frobenius_error,acceptance_rate
layered,single_site_gibbs,0,40,4,0.4,1.0,0.25,deep,10,30,0.13211075001163408,219.62657309027043,74.78972084640174,645.6125205088559,0.13162376493716882,0.14311815951259432,2.558307896436299,
layered,block_gibbs,0,40,4,0.4,1.0,0.25,deep,10,30,0.46806245803600177,278.6406068773573,82.43442583445977,988.9698976345347,0.08257249682792224,0.16047423103066014,2.771694384111407,
layered,rw_mh,0,40,4,0.4,1.0,0.25,deep,10,30,0.009876958967652172,1.332445036642239,1.3324450366422385,1.3324450366422385,1.177649181598258e-14,2.378485858154673,22.79918945436732,0.0
layered,single_site_gibbs,0,40,4,0.4,1.0,0.25,uniform,10,30,0.13055866700597107,129.66257579207115,39.250229006356534,321.0030380920351,0.17056914429597395,0.20365706247946366,3.6208355659037146,
layered,block_gibbs,0,40,4,0.4,1.0,0.25,uniform,10,30,0.4607095410465263,181.76579762199597,55.50267994046761,550.1611270582366,0.08704483967172162,0.17264443927824535,2.5574272759620964,
layered,rw_mh,0,40,4,0.4,1.0,0.25,uniform,10,30,0.009821415995247662,1.332445036642239,1.3324450366422385,1.3324450366422385,9.888692032399768e-15,3.167910286754134,32.16381394730645,0.0
layered,single_site_gibbs,0,40,4,0.4,1.0,0.25,shallow,10,30,0.12923654104815796,104.12053487206698,17.759946040827664,342.99005982718563,0.09791603323840745,0.39566653903479754,9.314021418615853,
layered,block_gibbs,0,40,4,0.4,1.0,0.25,shallow,10,30,0.45652658300241455,156.544523423933,46.794352005643375,444.53340077062876,0.16257901767932337,0.2986886550457137,5.17961496471344,
layered,rw_mh,0,40,4,0.4,1.0,0.25,shallow,10,30,0.0098306669970043,1.332445036642239,1.3324450366422385,1.3324450366422385,3.3140884582416994e-14,3.5462322095947294,32.58914249354091,0.0
layered,single_site_gibbs,0,40,4,0.45,1.0,0.25,deep,10,30,0.12961608404293656,200.28807765167375,38.543533060224185,587.9505930142439,0.2347533010431821,0.2607235914268249,3.567372262642765,
layered,block_gibbs,0,40,4,0.45,1.0,0.25,deep,10,30,0.4710900830104947,248.8667462808262,48.50888530141082,736.4084985483909,0.14542357884285453,0.28358891115808454,4.077742717128023,
layered,rw_mh,0,40,4,0.45,1.0,0.25,deep,10,30,0.010012209007982165,1.332445036642239,1.3324450366422385,1.3324450366422385,5.515123698972222e-14,3.182350445466196,32.46532225833065,0.0
layered,single_site_gibbs,0,40,4,0.45,1.0,0.25,uniform,10,30,0.12821487500332296,83.37223661103728,18.693603289292774,282.20017557876093,0.32305127929038635,1.9020155210593988,30.182974857675262,
layered,block_gibbs,0,40,4,0.45,1.0,0.25,uniform,10,30,0.46140762499999255,101.88369093218253,23.33512348191296,485.344932247025,0.9560933057295319,0.9635007726678911,14.884424299086314,
layered,rw_mh,0,40,4,0.45,1.0,0.25,uniform,10,30,0.009853541036136448,1.332445036642239,1.3324450366422385,1.3324450366422385,1.6331362591625704e-14,7.118507357302523,81.44409252947487,0.0
layered,single_site_gibbs,0,40,4,0.45,1.0,0.25,shallow,10,30,0.1285067910212092,63.79737106298037,23.664125246251682,389.6469457861185,0.3541150611779832,2.1296052743124783,30.937081339080482,
layered,block_gibbs,0,40,4,0.45,1.0,0.25,shallow,10,30,0.45822637499077246,48.84557702697368,14.610567537620643,169.36920241246733,0.45566317824483593,1.120511431508785,22.055703704876514,
