observation_strategy,method,dimension,mean_rmse_mean,mean_rmse_std,n_runs
deep,block_gibbs,40,0.1492937134700261,0.16765288329713465,80
deep,rw_mh,40,0.035235206427698944,0.14431853440028064,80
deep,single_site_gibbs,40,0.1594280902665693,0.1303361519304835,80
shallow,block_gibbs,40,0.4194842369479413,0.2890738972945918,80
shallow,rw_mh,40,0.06392774351047384,0.18157709780410353,80
shallow,single_site_gibbs,40,0.42633969720206155,0.2686016766872133,80
uniform,block_gibbs,40,0.2543493514245776,0.21626534985451748,80
uniform,rw_mh,40,0.04666742108403963,0.11672830951362995,80
uniform,single_site_gibbs,40,0.2804145664905245,0.26286620510415437,80
