observation_strategy,method,correlation,runtime_seconds_mean,runtime_seconds_std,n_runs
deep,block_gibbs,1.0,0.45791542134975316,0.008873562723059855,80
deep,rw_mh,1.0,0.009765476561005926,0.00014721765740095743,80
deep,single_site_gibbs,1.0,0.12759055460701346,0.0017313165537390816,80
shallow,block_gibbs,1.0,0.4489596192150202,0.01031462828709022,80
shallow,rw_mh,1.0,0.009791813539050054,0.00019719755683019364,80
shallow,single_site_gibbs,1.0,0.12720612809062004,0.0016763862278436968,80
uniform,block_gibbs,1.0,0.4522808708330558,0.00754598796542179,80
uniform,rw_mh,1.0,0.009790428564156173,0.00021203224469790112,80
uniform,single_site_gibbs,1.0,0.12753129476550384,0.0023722846655516,80
