observation_strategy,method,dimension,variance_rmse_mean,variance_rmse_std,n_runs
deep,block_gibbs,40,0.5560183688018351,1.5027195180303314,80
deep,rw_mh,40,3.4259715267237554,2.758914863812781,80
deep,single_site_gibbs,40,0.4428489594318217,0.7880379709938662,80
shallow,block_gibbs,40,1.531961932367324,1.3426750654497621,80
shallow,rw_mh,40,8.202839752944598,3.4653908614088165,80
shallow,single_site_gibbs,40,1.7986835878003067,1.6134106288633339,80
uniform,block_gibbs,40,0.9594700613132104,1.7954971117837868,80
uniform,rw_mh,40,5.261053169335172,2.820012262294062,80
uniform,single_site_gibbs,40,0.8575108051138143,0.8938145493778372,80
