observation_strategy,method,correlation,ess_mean_mean,ess_mean_std,n_runs
deep,block_gibbs,1.0,279.1293634726029,92.21021845504187,80
deep,rw_mh,1.0,5.169132203469329,10.15179691959108,80
deep,single_site_gibbs,1.0,194.6714860676562,67.1290254980523,80
shallow,block_gibbs,1.0,92.02129912937932,46.42980789803863,80
shallow,rw_mh,1.0,8.295450806011491,29.081693652088397,80
shallow,single_site_gibbs,1.0,80.8795560764174,39.63084772023445,80
uniform,block_gibbs,1.0,178.562953246612,79.67352755858174,80
uniform,rw_mh,1.0,7.409058300782787,12.936130557824189,80
uniform,single_site_gibbs,1.0,132.87962499761383,54.27083470937041,80
