graph_type,method,repetition,dimension,depth,max_parents,sparsity,correlation,observed_fraction,observation_strategy,initial_state_strategy,n_observed,n_latent,runtime_seconds,ess_mean,ess_min,ess_max,ess_per_second,weighted_ess,weighted_ess_fraction,mean_rmse,variance_rmse,covariance_frobenius_error,acceptance_rate,posterior_condition_number,mean_abs_posterior_corr,max_abs_posterior_corr,precision_density,n_edges,graph_density,empirical_depth,observed_mean_depth,observed_mean_descendants,observed_mean_children,block_within_precision_mass,block_cut_ratio,n_blocks,mean_block_size,max_block_size_actual,gibbs_spectral_radius,rb_mean_rmse,rb_variance_rmse
random_sparse,single_site_gibbs,0,60,,6,0.18,0.8,0.1,uniform,prior,6,54,0.14202461599995786,42.81254908515044,11.664814799129326,229.9852926488754,301.4445684905998,,,0.24143320061331486,0.3696621856388458,15.158656143588678,,650.2622687174248,0.22168138854881295,0.8165738371810193,0.3025856044723969,234,0.13220338983050847,16,8.333333333333334,14.833333333333334,4.0,0.0,1.0,54.0,1.0,1.0,0.9816761871854128,,
random_sparse,block_depth,0,60,,6,0.18,0.8,0.1,uniform,prior,6,54,0.10697085599997536,38.17799783456447,10.183514885817978,192.5995895687948,356.9009285535984,,,1.0387204583469283,0.5756442133275106,17.412183556878443,,650.2622687174248,0.22168138854881295,0.8165738371810193,0.3025856044723969,234,0.13220338983050847,16,8.333333333333334,14.833333333333334,4.0,0.03636823913022526,0.9636317608697748,16.0,3.375,7.0,0.9824170102988037,1.0296294124026535,0.5493341080668039
random_sparse,block_topological,0,60,,6,0.18,0.8,0.1,uniform,prior,6,54,0.04605525299996316,57.34228760492919,12.94007963963685,270.3543816102226,1245.0759439965525,,,0.15571270175390095,0.9698851969510781,33.214574399529134,,650.2622687174248,0.22168138854881295,0.8165738371810193,0.3025856044723969,234,0.13220338983050847,16,8.333333333333334,14.833333333333334,4.0,0.20733167924089846,0.7926683207591015,7.0,7.714285714285714,8.0,0.9780376429150102,0.14502745231387754,0.9367016788886192
random_sparse,block_random,0,60,,6,0.18,0.8,0.1,uniform,prior,6,54,0.048562224999955106,47.565926125962775,16.69103778806694,205.90946293636682,979.4840768932385,,,0.2549260498943595,0.9405641001520739,27.586664196790007,,650.2622687174248,0.22168138854881295,0.8165738371810193,0.3025856044723969,234,0.13220338983050847,16,8.333333333333334,14.833333333333334,4.0,0.1348870626936884,0.8651129373063116,7.0,7.714285714285714,8.0,0.9777146094582647,0.24788087473011527,0.8848078444069549
random_sparse,block_precision_bfs,0,60,,6,0.18,0.8,0.1,uniform,prior,6,54,0.08244580600000972,76.71609507621294,30.44820000401644,404.74409575571633,930.5033063319665,,,0.3406245289407692,1.1068447642597483,34.176712648802614,,650.2622687174248,0.22168138854881295,0.8165738371810193,0.3025856044723969,234,0.13220338983050847,16,8.333333333333334,14.833333333333334,4.0,0.23896596953087373,0.7610340304691263,12.0,4.5,8.0,0.9740000946685274,0.3241966721578007,1.0508636452384903
random_sparse,rw_mh,0,60,,6,0.18,0.8,0.1,uniform,prior,6,54,0.008187358999975913,7.402328002648652,4.371843455381873,23.83236300395333,904.1167002290273,,,1.6108501953875087,3.933341659977497,70.04779525181615,0.048,650.2622687174248,0.22168138854881295,0.8165738371810193,0.3025856044723969,234,0.13220338983050847,16,8.333333333333334,14.833333333333334,4.0,,,,,,,,
random_sparse,mala_diag,0,60,,6,0.18,0.8,0.1,uniform,prior,6,54,0.030526514999905885,12.733375606011121,4.985617419642234,25.496214729902732,417.12509947664773,,,1.1881889357021869,2.320527265557486,54.04544035464183,0.774,650.2622687174248,0.22168138854881295,0.8165738371810193,0.3025856044723969,234,0.13220338983050847,16,8.333333333333334,14.833333333333334,4.0,,,,,,,,
random_sparse,likelihood_weighting_sis,0,60,,6,0.18,0.8,0.1,uniform,prior,6,54,0.00376247000008334,2.876777549295486,2.876777549295486,2.876777549295486,764.5981361264713,2.876777549295486,0.004109682213279266,1.1151418996804425,2.457104106246137,56.03572866077927,,650.2622687174248,0.22168138854881295,0.8165738371810193,0.3025856044723969,234,0.13220338983050847,16,8.333333333333334,14.833333333333334,4.0,,,,,,,,
random_sparse,single_site_gibbs,0,60,,6,0.18,0.8,0.1,deep,prior,6,54,0.22037136099993404,54.288606392419716,19.19777755527453,122.60262816311074,246.3505518416069,,,0.25399384859482593,1.213799860241264,28.623901033457063,,624.9905866790942,0.19721440275961719,0.806381088387501,0.3137665967854647,234,0.13220338983050847,16,9.0,7.5,2.5,0.0,1.0,54.0,1.0,1.0,0.9809245845313553,,
random_sparse,block_depth,0,60,,6,0.18,0.8,0.1,deep,prior,6,54,0.11045746900003905,38.49482655272168,6.131972839554005,292.3982235916543,348.5036086849688,,,0.18285063071390667,2.4513643871899875,67.31264400835629,,624.9905866790942,0.19721440275961719,0.806381088387501,0.3137665967854647,234,0.13220338983050847,16,9.0,7.5,2.5,0.03407506182535192,0.9659249381746481,16.0,3.375,6.0,0.9803718858543435,0.1721637633520965,2.4486474826202183
random_sparse,block_topological,0,60,,6,0.18,0.8,0.1,deep,prior,6,54,0.04665386400006355,64.58958630919182,27.758597822387348,167.14870106225575,1384.4423756433944,,,0.3259039257668941,1.3803479187076666,34.856260418655175,,624.9905866790942,0.19721440275961719,0.806381088387501,0.3137665967854647,234,0.13220338983050847,16,9.0,7.5,2.5,0.20752311549731994,0.7924768845026801,7.0,7.714285714285714,8.0,0.9751701010853719,0.31161012787105735,1.300349001342768
random_sparse,block_random,0,60,,6,0.18,0.8,0.1,deep,prior,6,54,0.05790332200001558,52.144583884737806,8.07112196411146,209.4088546784449,900.5456350971327,,,0.43452343698998486,0.6606044667566356,19.514613649442307,,624.9905866790942,0.19721440275961719,0.806381088387501,0.3137665967854647,234,0.13220338983050847,16,9.0,7.5,2.5,0.13657134343601124,0.8634286565639888,7.0,7.714285714285714,8.0,0.980350112851416,0.4265235730434192,0.5940624413059529
random_sparse,block_precision_bfs,0,60,,6,0.18,0.8,0.1,deep,prior,6,54,0.07367894699996214,61.65310425816395,15.322592439883133,226.47903171787343,836.780474864762,,,0.5966194984530079,0.538593094933675,17.114501960048738,,624.9905866790942,0.19721440275961719,0.806381088387501,0.3137665967854647,234,0.13220338983050847,16,9.0,7.5,2.5,0.2820349782354524,0.7179650217645476,11.0,4.909090909090909,8.0,0.9754332659734452,0.5837261324646499,0.5254597530028027
random_sparse,rw_mh,0,60,,6,0.18,0.8,0.1,deep,prior,6,54,0.00781589799998983,6.447000776845594,4.316856861767434,19.914045484793935,824.8573326896005,,,2.7211539171366477,4.251815281740907,69.40891753985456,0.048,624.9905866790942,0.19721440275961719,0.806381088387501,0.3137665967854647,234,0.13220338983050847,16,9.0,7.5,2.5,,,,,,,,
random_sparse,mala_diag,0,60,,6,0.18,0.8,0.1,deep,prior,6,54,0.029723598000032325,11.219153730374213,4.839602266266114,28.049602922792744,377.44938315886293,,,1.4438554690570078,2.3671172224932024,57.98005979319964,0.768,624.9905866790942,0.19721440275961719,0.806381088387501,0.3137665967854647,234,0.13220338983050847,16,9.0,7.5,2.5,,,,,,,,
random_sparse,likelihood_weighting_sis,0,60,,6,0.18,0.8,0.1,deep,prior,6,54,0.002990372999988722,2.7071315445768462,2.7071315445768462,2.7071315445768462,905.2822322121876,2.7071315445768462,0.003867330777966923,0.696574469840735,3.4781989447152006,67.59845792648383,,624.9905866790942,0.19721440275961719,0.806381088387501,0.3137665967854647,234,0.13220338983050847,16,9.0,7.5,2.5,,,,,,,,
random_sparse,single_site_gibbs,0,60,,6,0.18,0.8,0.4,uniform,prior,24,36,0.1657020459999785,174.78364416521586,70.61150201474751,348.6086701143848,1054.8067955976749,,,0.08668875751024432,0.2241711370851885,4.108221754394917,,92.97044421818175,0.1290633739498254,0.6815159751196602,0.326984126984127,234,0.13220338983050847,16,7.333333333333333,18.416666666666668,3.8333333333333335,0.0,1.0,36.0,1.0,1.0,0.8656487286480798,,
random_sparse,block_depth,0,60,,6,0.18,0.8,0.4,uniform,prior,24,36,0.09403054900008101,127.07446291356558,43.05628320974925,291.98514444289873,1351.4167923602797,,,0.12915117187434438,0.1965771864707633,3.7517672707801806,,92.97044421818175,0.1290633739498254,0.6815159751196602,0.326984126984127,234,0.13220338983050847,16,7.333333333333333,18.416666666666668,3.8333333333333335,0.02993667316027232,0.9700633268397276,15.0,2.4,5.0,0.866222272796544,0.11264471744175683,0.1486133366392572
random_sparse,block_topological,0,60,,6,0.18,0.8,0.4,uniform,prior,24,36,0.033446918999970876,164.16226459141242,69.60660582227487,457.36948589458166,4908.143096575065,,,0.06146546837932697,0.12000355894565981,2.9884225813351444,,92.97044421818175,0.1290633739498254,0.6815159751196602,0.326984126984127,234,0.13220338983050847,16,7.333333333333333,18.416666666666668,3.8333333333333335,0.26159236633894567,0.7384076336610543,5.0,7.2,8.0,0.8483529699499666,0.0477246447322724,0.10789744899640288
random_sparse,block_random,0,60,,6,0.18,0.8,0.4,uniform,prior,24,36,0.03443431799996688,178.32362172550404,91.82511168874875,388.5766288598481,5178.659897538135,,,0.13146642203035983,0.22956776196332235,3.928796962854361,,92.97044421818175,0.1290633739498254,0.6815159751196602,0.326984126984127,234,0.13220338983050847,16,7.333333333333333,18.416666666666668,3.8333333333333335,0.14659944588492554,0.8534005541150744,5.0,7.2,8.0,0.8502073329758137,0.11309203416484807,0.16071839381035863
random_sparse,block_precision_bfs,0,60,,6,0.18,0.8,0.4,uniform,prior,24,36,0.05835588299999017,210.8767577578718,86.69345518112843,448.92272484052853,3613.6332262834117,,,0.10693920665384482,0.23708106360506903,4.2177911110757575,,92.97044421818175,0.1290633739498254,0.6815159751196602,0.326984126984127,234,0.13220338983050847,16,7.333333333333333,18.416666666666668,3.8333333333333335,0.36687298462242857,0.6331270153775714,9.0,4.0,8.0,0.8276866757971827,0.08775982454797049,0.16576529655315314
random_sparse,rw_mh,0,60,,6,0.18,0.8,0.4,uniform,prior,24,36,0.007395733000066684,7.001809872675407,4.612687912930531,20.767398687627278,946.7364320226643,,,1.0641808623408713,1.090538954505809,16.567002149590348,0.091,92.97044421818175,0.1290633739498254,0.6815159751196602,0.326984126984127,234,0.13220338983050847,16,7.333333333333333,18.416666666666668,3.8333333333333335,,,,,,,,
random_sparse,mala_diag,0,60,,6,0.18,0.8,0.4,uniform,prior,24,36,0.028551530999948227,22.36219030077825,5.750812725360884,54.17924790512759,783.2221081531073,,,0.6040478013282295,0.5171201357802959,9.341105016078782,0.853,92.97044421818175,0.1290633739498254,0.6815159751196602,0.326984126984127,234,0.13220338983050847,16,7.333333333333333,18.416666666666668,3.8333333333333335,,,,,,,,
random_sparse,likelihood_weighting_sis,0,60,,6,0.18,0.8,0.4,uniform,prior,24,36,0.0029496140000446758,7.130865720791732,7.130865720791732,7.130865720791732,2417.558948623015,7.130865720791732,0.010186951029702474,0.5247651489567351,0.8482848024827958,20.5284978920628,,92.97044421818175,0.1290633739498254,0.6815159751196602,0.326984126984127,234,0.13220338983050847,16,7.333333333333333,18.416666666666668,3.8333333333333335,,,,,,,,
random_sparse,single_site_gibbs,0,60,,6,0.18,0.8,0.4,deep,prior,24,36,0.16738591400007863,202.2779449242326,85.60314645765183,335.9510415858416,1208.4526116345583,,,0.10240843665714869,0.10663294990042832,2.0121890325885543,,57.70009421683075,0.11921117935700712,0.5740089628825715,0.3523809523809524,234,0.13220338983050847,16,8.708333333333334,10.958333333333334,2.8333333333333335,0.0,1.0,36.0,1.0,1.0,0.8208772112524149,,
random_sparse,block_depth,0,60,,6,0.18,0.8,0.4,deep,prior,24,36,0.0876652509999758,172.6703971111605,70.12967104884726,371.26093845441176,1969.6561082247763,,,0.04321027814239511,0.07414632633993488,2.1348374179162235,,57.70009421683075,0.11921117935700712,0.5740089628825715,0.3523809523809524,234,0.13220338983050847,16,8.708333333333334,10.958333333333334,2.8333333333333335,0.0483002964149815,0.9516997035850185,14.0,2.5714285714285716,6.0,0.8280922148454424,0.02761790659643635,0.04728891881724081
random_sparse,block_topological,0,60,,6,0.18,0.8,0.4,deep,prior,24,36,0.03374306900002466,220.95766991442918,63.88625383198535,474.29324533694916,6548.2386890850885,,,0.061469787261522156,0.05900215819232929,1.5167649308035231,,57.70009421683075,0.11921117935700712,0.5740089628825715,0.3523809523809524,234,0.13220338983050847,16,8.708333333333334,10.958333333333334,2.8333333333333335,0.31574870611587436,0.6842512938841256,5.0,7.2,8.0,0.8050650321108953,0.03393191103808767,0.031246814026358913
random_sparse,block_random,0,60,,6,0.18,0.8,0.4,deep,prior,24,36,0.03333428099995217,233.4607773847324,107.06991874229197,493.75176090683186,7003.624208515774,,,0.08839556218503249,0.090566713753673,2.0434006070741315,,57.70009421683075,0.11921117935700712,0.5740089628825715,0.3523809523809524,234,0.13220338983050847,16,8.708333333333334,10.958333333333334,2.8333333333333335,0.16245412836879364,0.8375458716312063,5.0,7.2,8.0,0.7785909794371313,0.06550142277355052,0.058689410519686624
