method,runs,ess_per_second,ess_mean,runtime_seconds,mean_rmse,weighted_ess_fraction,acceptance_rate
single_site_gibbs,36,2829.6487861262253,194.89578770002993,0.13592927961110488,0.18500439873262126,,
block_precision_bfs,36,7317.096529239407,248.91251880774155,0.050166713333330365,0.200161857919543,,
block_depth,36,2568.644472106862,198.55146132615928,0.0929655522777813,0.213598591747909,,
block_topological,36,9274.993033802059,238.13644262680023,0.03493976938888619,0.22122580827185492,,
block_random,36,9406.818455528339,231.92778021302885,0.03491622108333239,0.2550237267989249,,
mala_diag,36,792.766943401517,22.625290066394978,0.029036985527786354,0.6846191450298407,,0.8375277777777778
likelihood_weighting_sis,36,1105.0985319041242,3.261488636576821,0.0033517621666779057,0.8758127371217023,0.004659269480823986,
rw_mh,36,1285.77090962875,9.67005553347677,0.007631708944447527,1.8421819358867693,,0.1153611111111111
