method,runs,ess_per_second,ess_mean,runtime_seconds,mean_rmse,variance_rmse,covariance_frobenius_error,acceptance_rate,weighted_ess_fraction
likelihood_weighting_sis,72,177547.84924529953,269.19355844867084,0.0015317538749933472,0.10751855728611488,0.16359211963603745,3.046794981129792,,0.5383871168973416
block_random,72,17963.181427259053,319.48918314591907,0.018530986416662433,0.07492938158857354,0.10446946661511844,1.905221446606212,,
block_topological,72,17862.319733933004,318.65320588417916,0.018395845555551786,0.07930947757412365,0.10015579348724758,1.9068803004386519,,
block_depth,72,11690.795090918169,300.03507044023553,0.0290881821250034,0.07656531122614788,0.1183301755120348,2.1852555479987457,,
block_precision_bfs,72,9219.288607269107,373.5743023591805,0.04431074190277679,0.06740691813783137,0.09369659265714342,1.7533501127011308,,
single_site_gibbs,72,5873.110292371159,296.80817898602504,0.05347749145833166,0.08075056756659407,0.10814756588200533,2.0385837056045295,,
rw_mh,72,1931.895202827365,10.083421474825553,0.005280850625001939,0.559730377522568,0.661643002185344,9.215509987173961,0.2581944444444444,
mala_diag,72,1466.4133483634296,30.275664802409533,0.02078926995833141,0.2905782625543002,0.34270661982355044,5.6322754372531,0.88875,
