graph_type,method,repetition,dimension,depth,max_parents,sparsity,correlation,observed_fraction,observation_strategy,block_size,runtime_seconds,ess_mean,ess_per_second,mean_rmse,variance_rmse,covariance_frobenius_error,posterior_condition_number,mean_abs_posterior_corr,max_abs_posterior_corr,precision_density,block_within_precision_mass,block_cut_ratio,n_blocks,mean_block_size,max_block_size_actual,gibbs_spectral_radius,rb_mean_rmse,rb_variance_rmse
random_sparse,block_topological,0,60,,6,0.18,0.8,0.4,uniform,2,0.10930587600000763,174.2320481767406,1593.9861108356922,0.0798084655433863,0.13876246651497964,2.5539628555926845,57.48055373637246,0.12203039454316314,0.683874442161953,0.30634920634920637,0.026817531178399082,0.9731824688216009,18,2.0,2,0.8435104212886542,0.06462440915475154,0.09732361267503618
random_sparse,block_random,0,60,,6,0.18,0.8,0.4,uniform,2,0.10985232899997754,163.13267211647633,1485.0178744640878,0.10393437767116112,0.09341241518304551,2.3844813279303727,57.48055373637246,0.12203039454316314,0.683874442161953,0.30634920634920637,0.011531123681699966,0.9884688763183,18,2.0,2,0.827649523113138,0.0899205921307346,0.05967675658843694
random_sparse,block_precision_bfs,0,60,,6,0.18,0.8,0.4,uniform,2,0.12620283599994764,184.12469179525905,1458.9584325611784,0.05185663587005454,0.13071668756326116,3.072319595038514,57.48055373637246,0.12203039454316314,0.683874442161953,0.30634920634920637,0.17870775439544725,0.8212922456045527,20,1.8,2,0.7776202237702874,0.039758919471641126,0.10872476929991735
random_sparse,block_topological,0,60,,6,0.18,0.8,0.4,uniform,4,0.056655511000030856,181.0592935869263,3195.793143350656,0.06843217640296803,0.13270617182273106,2.9648246421332725,57.48055373637246,0.12203039454316314,0.683874442161953,0.30634920634920637,0.08517059424790917,0.9148294057520908,9,4.0,4,0.8441666868042508,0.054334445053370754,0.09041608450795972
random_sparse,block_random,0,60,,6,0.18,0.8,0.4,uniform,4,0.05712297700006275,198.542784546558,3475.7079370415154,0.0433394709384884,0.07258258021293386,2.2321724448371913,57.48055373637246,0.12203039454316314,0.683874442161953,0.30634920634920637,0.07449074035761187,0.9255092596423882,9,4.0,4,0.8348244624303514,0.02690775574186085,0.04943328381063034
random_sparse,block_precision_bfs,0,60,,6,0.18,0.8,0.4,uniform,4,0.0797001129999444,237.91922720096125,2985.180550510979,0.09837269244600154,0.06960368650601137,1.9221304400682804,57.48055373637246,0.12203039454316314,0.683874442161953,0.30634920634920637,0.23287924858928358,0.7671207514107165,11,3.272727272727273,4,0.7911041635585208,0.07948776618301784,0.05249199172488243
random_sparse,block_topological,0,60,,6,0.18,0.8,0.4,uniform,8,0.03365107899992381,215.38560855189033,6400.555790569983,0.10397443613847894,0.10076013558862232,2.257111833843697,57.48055373637246,0.12203039454316314,0.683874442161953,0.30634920634920637,0.2667935251196356,0.7332064748803644,5,7.2,8,0.7973200939216916,0.08149469352104352,0.0678883164515348
random_sparse,block_random,0,60,,6,0.18,0.8,0.4,uniform,8,0.033628596000085054,239.48386022159744,7121.434990059999,0.10004639515280703,0.14725450642002522,2.4532956666488475,57.48055373637246,0.12203039454316314,0.683874442161953,0.30634920634920637,0.22321916602799866,0.7767808339720014,5,7.2,8,0.8033960136609313,0.0770936796447019,0.09512797430962854
random_sparse,block_precision_bfs,0,60,,6,0.18,0.8,0.4,uniform,8,0.05485317099999065,257.3731248695105,4692.037309375502,0.056438207873112996,0.07658131218171585,2.013254883338545,57.48055373637246,0.12203039454316314,0.683874442161953,0.30634920634920637,0.4023668483860056,0.5976331516139943,8,4.5,8,0.8103282964340642,0.039165629218429004,0.02398004688094203
random_sparse,block_topological,0,60,,6,0.18,0.8,0.4,uniform,12,0.0221814720000566,239.0324596193651,10776.221687124964,0.0851468551573,0.09357388173584563,1.913943251610063,57.48055373637246,0.12203039454316314,0.683874442161953,0.30634920634920637,0.35267563782558653,0.6473243621744135,3,12.0,12,0.7529726091204345,0.07109836204478201,0.039444389895324075
