observation_strategy,method,correlation,ess_mean_mean,ess_mean_std,n_runs
deep,block_gibbs,0.8,236.69915457347741,70.82353601469676,110
deep,rw_mh,0.8,5.066759880453733,9.635537619718587,110
deep,single_site_gibbs,0.8,160.96481173878564,57.127817676911846,110
shallow,block_gibbs,0.8,69.69749170538196,42.79692191224581,110
shallow,rw_mh,0.8,4.9163349052470355,8.304161189914783,110
shallow,single_site_gibbs,0.8,63.287157342212254,36.472777167688285,110
uniform,block_gibbs,0.8,141.5238047191834,72.42205649419333,110
uniform,rw_mh,0.8,7.117381636390659,10.939521269015476,110
uniform,single_site_gibbs,0.8,109.21579778335807,57.28959048717504,110
