observation_strategy,method,sparsity,runtime_seconds_mean,runtime_seconds_std,n_runs
deep,block_gibbs,0.6,0.5716040875270582,0.08194481896910262,110
deep,rw_mh,0.6,0.0107606904824603,0.0006143551574433519,110
deep,single_site_gibbs,0.6,0.2164069307100197,0.052653659192030425,110
shallow,block_gibbs,0.6,0.5400756431045011,0.06448918670480051,110
shallow,rw_mh,0.6,0.010791940871753137,0.000615584823642485,110
shallow,single_site_gibbs,0.6,0.21698258286871186,0.05480542215810329,110
uniform,block_gibbs,0.6,0.5540401954542507,0.07485456230269405,110
uniform,rw_mh,0.6,0.01076927497686649,0.0006265655519666548,110
uniform,single_site_gibbs,0.6,0.21560241440046493,0.05322721688811311,110
