observation_strategy,method,sparsity,mean_rmse_mean,mean_rmse_std,n_runs
deep,block_gibbs,0.6,0.177066791685443,0.11811806763102274,110
deep,rw_mh,0.6,0.017919352744534364,0.08273151293226852,110
deep,single_site_gibbs,0.6,0.17531922048309498,0.10586206903326391,110
shallow,block_gibbs,0.6,0.607751347051953,0.5242630637885197,110
shallow,rw_mh,0.6,0.014955264709578435,0.07228112073330638,110
shallow,single_site_gibbs,0.6,0.5638372432285903,0.409274352534123,110
uniform,block_gibbs,0.6,0.3421318685955732,0.2686859317938796,110
uniform,rw_mh,0.6,0.008732658438132342,0.05664659140153226,110
uniform,single_site_gibbs,0.6,0.30803280142723427,0.21781265527373272,110
