observation_strategy,method,dimension,mean_rmse_mean,mean_rmse_std,n_runs
deep,block_gibbs,40,0.0764252430134775,0.0320381271685091,10
deep,block_gibbs,45,0.11045924694686904,0.04662666984118315,10
deep,block_gibbs,50,0.08534068474673737,0.028667182619869606,10
deep,block_gibbs,55,0.1336839397763642,0.0575777291287606,10
deep,block_gibbs,60,0.2093426642843302,0.18472455493819195,10
deep,block_gibbs,65,0.2002278199182804,0.08801602828558443,10
deep,block_gibbs,70,0.1440623079250895,0.04760590137370158,10
deep,block_gibbs,75,0.240790042097263,0.1294354746575683,10
deep,block_gibbs,80,0.2177809346318223,0.11690611695525527,10
deep,block_gibbs,85,0.27946936696389246,0.1363046296334131,10
deep,block_gibbs,90,0.25015245823574717,0.1182035863404517,10
deep,rw_mh,40,0.11827655623316062,0.19145865377030277,10
deep,rw_mh,45,0.078836323956252,0.1664730082812775,10
deep,rw_mh,50,2.909778809332577e-14,1.270443026835639e-14,10
deep,rw_mh,55,3.9513828769036874e-14,1.441045615794909e-14,10
deep,rw_mh,60,3.546349058102812e-14,1.6004382671793513e-14,10
deep,rw_mh,65,6.06796569271089e-14,1.9645581587586126e-14,10
deep,rw_mh,70,5.156803629854298e-14,2.8110531411900306e-14,10
deep,rw_mh,75,6.370810424881799e-14,2.0478724403737617e-14,10
deep,rw_mh,80,4.9855110989337824e-14,1.2896945198501727e-14,10
deep,rw_mh,85,6.522491980415682e-14,1.8002990144207213e-14,10
deep,rw_mh,90,7.026579030600609e-14,1.4438342254845016e-14,10
deep,single_site_gibbs,40,0.10554554986385874,0.03686013704004926,10
deep,single_site_gibbs,45,0.11148894944045266,0.04648223259992346,10
deep,single_site_gibbs,50,0.08540690076269492,0.029704062049708983,10
deep,single_site_gibbs,55,0.19053479022526518,0.09701979896248022,10
deep,single_site_gibbs,60,0.1648394876550488,0.07245687192878851,10
deep,single_site_gibbs,65,0.17147090008723861,0.08375318297572613,10
deep,single_site_gibbs,70,0.17146051564146192,0.11231005870041472,10
deep,single_site_gibbs,75,0.1749912483244171,0.1002131261355165,10
deep,single_site_gibbs,80,0.2567434156966682,0.09634987932278537,10
deep,single_site_gibbs,85,0.24227495657768286,0.17544757584713846,10
deep,single_site_gibbs,90,0.25375471103925584,0.09171438995778486,10
shallow,block_gibbs,40,0.2709885588869053,0.1638211825363897,10
shallow,block_gibbs,45,0.22515337526812051,0.10754752392755389,10
shallow,block_gibbs,50,0.34263550927149106,0.17008729239862955,10
shallow,block_gibbs,55,0.36973843145095114,0.22595591728649697,10
shallow,block_gibbs,60,0.4370844588758202,0.20838188808303554,10
