observation_strategy,method,dimension,variance_rmse_mean,variance_rmse_std,n_runs
deep,block_gibbs,40,0.14679967304508762,0.06775655622270714,10
deep,block_gibbs,45,0.23433403360906055,0.1385653351623347,10
deep,block_gibbs,50,0.17414266933421163,0.09401329754421454,10
deep,block_gibbs,55,0.389535645648205,0.23950629570894463,10
deep,block_gibbs,60,0.41161601293926503,0.25113751853309774,10
deep,block_gibbs,65,0.555400272035721,0.27429330544937036,10
deep,block_gibbs,70,0.4504282012874953,0.2317489089851958,10
deep,block_gibbs,75,0.5427249533936622,0.35424570579218007,10
deep,block_gibbs,80,0.5200072050663141,0.36318470983141515,10
deep,block_gibbs,85,0.6481133542014593,0.28028009199817266,10
deep,block_gibbs,90,0.9537291670749625,0.5444091691950178,10
deep,rw_mh,40,2.0507122769144805,0.4086551895541085,10
deep,rw_mh,45,2.4064611246264365,0.5967726592475228,10
deep,rw_mh,50,2.1938867901702914,0.5639830242003413,10
deep,rw_mh,55,3.2957725353034926,1.0022208610765686,10
deep,rw_mh,60,3.206897418696837,0.8909125415744471,10
deep,rw_mh,65,3.877778810526498,1.0295672821002309,10
deep,rw_mh,70,3.22108109704297,0.8550845311606204,10
deep,rw_mh,75,4.040208487088135,0.9102446732661126,10
deep,rw_mh,80,4.2683833601496595,2.2177537277710884,10
deep,rw_mh,85,4.410810408933259,0.9982054574856124,10
deep,rw_mh,90,4.935791310734197,0.9213094630088668,10
deep,single_site_gibbs,40,0.19306068759210332,0.09833858673139552,10
deep,single_site_gibbs,45,0.24895668066716398,0.20668758457094474,10
deep,single_site_gibbs,50,0.17618684674790863,0.06338258546725091,10
deep,single_site_gibbs,55,0.3894811351149577,0.23421983596339005,10
deep,single_site_gibbs,60,0.4027321330178021,0.16843408095651052,10
deep,single_site_gibbs,65,0.48339362480292036,0.22902643304966971,10
deep,single_site_gibbs,70,0.46390691783020166,0.3580080813463908,10
deep,single_site_gibbs,75,0.47808640920226597,0.16690516926506374,10
deep,single_site_gibbs,80,0.5352181265740616,0.3960190904020567,10
deep,single_site_gibbs,85,0.6286799501841459,0.308751615766651,10
deep,single_site_gibbs,90,0.9270683421419855,0.6219543874005956,10
shallow,block_gibbs,40,0.5911919692891889,0.35363832837238723,10
shallow,block_gibbs,45,0.6453687298825873,0.29738228375972947,10
shallow,block_gibbs,50,1.3699049390459652,0.6417994748436242,10
shallow,block_gibbs,55,1.4097485281058808,0.7414695120215045,10
shallow,block_gibbs,60,1.8801925033317215,1.2794566831065144,10
shallow,block_gibbs,65,2.128136203415452,1.7737946724200722,10
shallow,block_gibbs,70,2.269302941624372,0.9820075394430409,10
shallow,block_gibbs,75,2.9198045842586455,1.3899281591039645,10
shallow,block_gibbs,80,3.6730637817095144,1.4274368868621583,10
shallow,block_gibbs,85,4.869250917614695,1.2852331997375006,10
shallow,block_gibbs,90,4.946444840336393,1.4439687333031652,10
shallow,rw_mh,40,4.130269959419557,0.7546592445859575,10
shallow,rw_mh,45,5.1975521267234,1.1370911004254878,10
shallow,rw_mh,50,6.4667902024161235,1.300876863448565,10
shallow,rw_mh,55,7.322484433358767,2.203361123261148,10
shallow,rw_mh,60,7.758260098123584,1.7248954977438007,10
shallow,rw_mh,65,9.191961375252358,2.5870625488083676,10
shallow,rw_mh,70,10.59076729665304,2.210782743013472,10
