observation_strategy,method,dimension,runtime_seconds_mean,runtime_seconds_std,n_runs
deep,block_gibbs,40,0.45820711259148084,0.006252015210875816,10
deep,block_gibbs,45,0.47575412079459056,0.014233481215458744,10
deep,block_gibbs,50,0.5010653503006324,0.011159095822980782,10
deep,block_gibbs,55,0.5106261831126175,0.012841038909280532,10
deep,block_gibbs,60,0.5389183123013936,0.013196882150636538,10
deep,block_gibbs,65,0.5614807709120214,0.007080321828191733,10
deep,block_gibbs,70,0.583944012504071,0.015563829086292693,10
deep,block_gibbs,75,0.6141933167062235,0.005892412244981782,10
deep,block_gibbs,80,0.6518323126831091,0.02032694738345808,10
deep,block_gibbs,85,0.6810926083941012,0.008713256625169365,10
deep,block_gibbs,90,0.7105308624973986,0.01569401999566017,10
deep,rw_mh,40,0.009977516590151937,0.00011893495354147904,10
deep,rw_mh,45,0.010096553998300806,9.540981058410679e-05,10
deep,rw_mh,50,0.010208325099665672,7.109338494366336e-05,10
deep,rw_mh,55,0.010329545906279236,9.503434871084874e-05,10
deep,rw_mh,60,0.010514328896533698,0.00012054899283947002,10
deep,rw_mh,65,0.010648837313055992,0.00012128234198825448,10
deep,rw_mh,70,0.010830008302582428,0.0001668670335507945,10
deep,rw_mh,75,0.010990716615924611,8.189416814037902e-05,10
deep,rw_mh,80,0.011198749899631367,4.685866950629019e-05,10
deep,rw_mh,85,0.011652258492540568,7.4162926881851e-05,10
deep,rw_mh,90,0.011920754192396998,8.931633551558073e-05,10
deep,single_site_gibbs,40,0.13481897521996872,0.0013674948681712256,10
deep,single_site_gibbs,45,0.15208667499828152,0.006843060395537539,10
deep,single_site_gibbs,50,0.16940999599173664,0.005290111460889031,10
deep,single_site_gibbs,55,0.18175363749614917,0.004384679355672629,10
deep,single_site_gibbs,60,0.19794631248223596,0.0013504718974699055,10
deep,single_site_gibbs,65,0.2159925749991089,0.002419064519702888,10
deep,single_site_gibbs,70,0.2282262706954498,0.0022507003275716846,10
deep,single_site_gibbs,75,0.2469199415994808,0.00433984967552347,10
deep,single_site_gibbs,80,0.267932533408748,0.004544397659817208,10
deep,single_site_gibbs,85,0.2835592292190995,0.0013453755876929588,10
deep,single_site_gibbs,90,0.30183009169995784,0.0029627252571695463,10
shallow,block_gibbs,40,0.44798182499944234,0.012281885910496794,10
shallow,block_gibbs,45,0.46282416650792585,0.009638702143974708,10
shallow,block_gibbs,50,0.48641861240612344,0.014068270071993476,10
shallow,block_gibbs,55,0.4937356333015487,0.006359109714754946,10
shallow,block_gibbs,60,0.5105279750190675,0.00680031214080511,10
shallow,block_gibbs,65,0.5415347205940634,0.027370929752982623,10
shallow,block_gibbs,70,0.5550876163935754,0.015225965790407105,10
shallow,block_gibbs,75,0.5770888625120278,0.01058397097843133,10
shallow,block_gibbs,80,0.5923581625102088,0.007140524762643849,10
shallow,block_gibbs,85,0.6220230500097387,0.005303137940864882,10
shallow,block_gibbs,90,0.6512514498957899,0.007159032033132295,10
shallow,rw_mh,40,0.009979791688965633,0.00015022096627349498,10
shallow,rw_mh,45,0.010241233394481242,0.0004600858144599413,10
shallow,rw_mh,50,0.010342037701047958,0.00023959574386261083,10
shallow,rw_mh,55,0.010328712500631809,9.72669723541357e-05,10
shallow,rw_mh,60,0.010517787496792153,0.0001221626550170023,10
