observation_strategy,method,correlation,covariance_frobenius_error_mean,covariance_frobenius_error_std,n_runs
deep,block_gibbs,0.4,1.5315180468723655,0.08763320852830925,10
deep,block_gibbs,0.45,1.559240602453776,0.10114024693651602,10
deep,block_gibbs,0.5,1.6080170991261844,0.13064246171647093,10
deep,block_gibbs,0.55,1.759283591082017,0.23328673264306565,10
deep,block_gibbs,0.6,1.7402686032908228,0.19515040898619335,10
deep,block_gibbs,0.65,1.9126568659481218,0.19850062179727568,10
deep,block_gibbs,0.7,2.123310219518565,0.3268469065473708,10
deep,block_gibbs,0.75,2.598986760991844,0.695155388152693,10
deep,block_gibbs,0.8,2.872036285715963,1.0093842505077872,10
deep,block_gibbs,0.85,2.8003906115931168,1.663699299823272,10
deep,rw_mh,0.4,7.854378032926741,0.6259627558010249,10
deep,rw_mh,0.45,7.740341987370622,1.3427276575765166,10
deep,rw_mh,0.5,8.23607748815192,0.7005092332560516,10
deep,rw_mh,0.55,9.053759207577375,1.8106705559359375,10
deep,rw_mh,0.6,8.718766643062393,1.1771678282590736,10
deep,rw_mh,0.65,9.276507278062288,0.9804810977131141,10
deep,rw_mh,0.7,10.78484050559117,0.8993923570882809,10
deep,rw_mh,0.75,13.04232083468089,3.147643316661426,10
deep,rw_mh,0.8,13.568058088298113,3.0439131651386977,10
deep,rw_mh,0.85,13.286642118249858,3.668955757384181,10
deep,single_site_gibbs,0.4,1.4781510256743482,0.07673494608061485,10
deep,single_site_gibbs,0.45,1.5938626403367113,0.11490825825847209,10
deep,single_site_gibbs,0.5,1.6777351800019482,0.10539308728049694,10
deep,single_site_gibbs,0.55,1.686306649684934,0.09105788750678985,10
deep,single_site_gibbs,0.6,1.769720844941541,0.222097999843057,10
deep,single_site_gibbs,0.65,1.8586609337390645,0.19553125109839092,10
deep,single_site_gibbs,0.7,2.1915912055160556,0.3354441546150676,10
deep,single_site_gibbs,0.75,2.927560577930719,1.2890299142968478,10
deep,single_site_gibbs,0.8,2.8842856001396884,0.9894956869053952,10
deep,single_site_gibbs,0.85,2.7359406705140676,0.9758151130578089,10
shallow,block_gibbs,0.4,1.6065571429454213,0.09618369698226,10
shallow,block_gibbs,0.45,1.73788640625443,0.10731043111197311,10
shallow,block_gibbs,0.5,1.7660952863987665,0.14294579914642366,10
shallow,block_gibbs,0.55,1.927777899024845,0.2240705990889533,10
shallow,block_gibbs,0.6,1.9515735262522607,0.2860196746513179,10
shallow,block_gibbs,0.65,2.1868200113583613,0.3552433633937847,10
shallow,block_gibbs,0.7,2.9141019676733824,1.1135086976123603,10
shallow,block_gibbs,0.75,3.5417578444781994,1.3634597637272299,10
