observation_strategy,method,sparsity,covariance_frobenius_error_mean,covariance_frobenius_error_std,n_runs
deep,block_gibbs,0.3,2.0505708686592774,0.8127303788023524,100
deep,rw_mh,0.3,10.156169218397137,2.9579756565916666,100
deep,single_site_gibbs,0.3,2.0803815328479076,0.7987939829768023,100
shallow,block_gibbs,0.3,2.5114446649195203,1.1748314833199083,100
shallow,rw_mh,0.3,11.873757067217243,4.342552861458015,100
shallow,single_site_gibbs,0.3,2.38740559346251,1.084930240757935,100
uniform,block_gibbs,0.3,2.118329279257753,0.7357089453857062,100
uniform,rw_mh,0.3,10.60857395813378,3.1115065617067277,100
uniform,single_site_gibbs,0.3,2.137763892596074,0.683491549313912,100
