observation_strategy,method,dimension,ess_mean_mean,ess_mean_std,n_runs
deep,block_gibbs,40,296.85341273454264,69.2702947877153,100
deep,rw_mh,40,10.38065497490977,6.119068070765154,100
deep,single_site_gibbs,40,292.6280716287054,76.27538783010486,100
shallow,block_gibbs,40,274.8526673430272,79.51021686568667,100
shallow,rw_mh,40,9.864253209954153,4.583918450388596,100
shallow,single_site_gibbs,40,280.16057693460823,79.47694024889111,100
uniform,block_gibbs,40,289.03064152321065,73.51180004161218,100
uniform,rw_mh,40,9.896666859526789,6.580133593281803,100
uniform,single_site_gibbs,40,282.85298957951915,73.38146491746238,100
