observation_strategy,method,sparsity,variance_rmse_mean,variance_rmse_std,n_runs
deep,block_gibbs,0.3,0.103987085830282,0.061338305395759254,100
deep,rw_mh,0.3,0.9837240564066779,0.45522450259871594,100
deep,single_site_gibbs,0.3,0.10655359106128583,0.05457945832263864,100
shallow,block_gibbs,0.3,0.1311557123133419,0.07844865805731689,100
shallow,rw_mh,0.3,1.0493069017579524,0.5561799223661205,100
shallow,single_site_gibbs,0.3,0.11888426004926446,0.06331931996479052,100
uniform,block_gibbs,0.3,0.11053180213964893,0.05266000861086964,100
uniform,rw_mh,0.3,0.986957654565808,0.4562207916100689,100
uniform,single_site_gibbs,0.3,0.11340026760798427,0.056056014237822215,100
