observation_strategy,method,sparsity,mean_rmse_mean,mean_rmse_std,n_runs
deep,block_gibbs,0.3,0.07298546821465451,0.033647897490245715,100
deep,rw_mh,0.3,0.34655842007484516,0.21674248389645248,100
deep,single_site_gibbs,0.3,0.070475517210234,0.02993900363088627,100
shallow,block_gibbs,0.3,0.08430600189925416,0.04704130071498094,100
shallow,rw_mh,0.3,0.4435154835701401,0.20992186080308858,100
shallow,single_site_gibbs,0.3,0.08369357135580743,0.04981906492860859,100
uniform,block_gibbs,0.3,0.07920453375109279,0.036710471618628726,100
uniform,rw_mh,0.3,0.38795538478959446,0.2010801588906419,100
uniform,single_site_gibbs,0.3,0.07443534466959258,0.029060208093975786,100
