graph_type,method,repetition,dimension,depth,sparsity,correlation,observed_fraction,observation_strategy,n_observed,n_latent,runtime_seconds,ess_mean,ess_min,ess_max,mean_rmse,variance_rmse,covariance_frobenius_error,acceptance_rate
layered,single_site_gibbs,0,40,4,0.3,0.4,0.25,deep,10,30,0.060875541996210814,388.03779487070005,159.6471573604288,500.0,0.04606869349406778,0.06995505611521367,1.5214645349016045,
layered,block_gibbs,0,40,4,0.3,0.4,0.25,deep,10,30,0.22482875001151115,402.98879164592904,236.6234389783116,500.0,0.05032760729179895,0.06796225453434472,1.4689181040532187,
layered,rw_mh,0,40,4,0.3,0.4,0.25,deep,10,30,0.004965999978594482,10.062119869399359,3.7624596983649967,19.18383725958758,0.4207658745357911,0.3671193567916471,8.145717951436131,0.0744
layered,single_site_gibbs,0,40,4,0.3,0.4,0.25,uniform,10,30,0.06171408394584432,387.13531503983575,254.43378825001352,500.0,0.04121567179645024,0.0910918788285384,1.5425896367791165,
layered,block_gibbs,0,40,4,0.3,0.4,0.25,uniform,10,30,0.2267788329627365,370.58421458677134,186.2876690162456,500.0,0.04956619728510315,0.06669526423585499,1.4778854180345835,
layered,rw_mh,0,40,4,0.3,0.4,0.25,uniform,10,30,0.004994750022888184,11.578943396544956,3.6767774601228105,26.480005403103394,0.4829740696832535,0.7320178725116016,13.353976099298018,0.0856
layered,single_site_gibbs,0,40,4,0.3,0.4,0.25,shallow,10,30,0.06309937499463558,408.3871804654666,262.23736593625733,500.0,0.038012657376777226,0.07866900056780664,1.7033936357901422,
layered,block_gibbs,0,40,4,0.3,0.4,0.25,shallow,10,30,0.22376779100159183,387.3558131687243,252.79674500776838,500.0,0.07067456098650834,0.07496155576100429,1.6844230059963825,
layered,rw_mh,0,40,4,0.3,0.4,0.25,shallow,10,30,0.004898583050817251,11.182003428105132,5.7765356278479825,22.098722957482863,0.3623897030902127,0.5065858114449655,7.229835784865835,0.0744
layered,single_site_gibbs,0,40,4,0.3,0.45,0.25,deep,10,30,0.06244945898652077,381.486749485688,159.7945398168958,500.0,0.041518667557056334,0.0702430284767622,1.4347976033374703,
layered,block_gibbs,0,40,4,0.3,0.45,0.25,deep,10,30,0.2282576669822447,356.18458685009307,219.006144897945,500.0,0.03639632190046039,0.08323110114559641,1.5095691045963768,
layered,rw_mh,0,40,4,0.3,0.45,0.25,deep,10,30,0.004838792025111616,12.885971276871329,3.7256301574429487,26.213814146032043,0.3606821634494046,0.6308298290442536,7.301470652215095,0.0504
layered,single_site_gibbs,0,40,4,0.3,0.45,0.25,uniform,10,30,0.061414499999955297,324.1037525237505,178.81177452185494,500.0,0.05237891077811833,0.0720173169643716,1.6495939790848277,
layered,block_gibbs,0,40,4,0.3,0.45,0.25,uniform,10,30,0.22727500001201406,302.95506245332945,159.7867802232728,417.90315782486255,0.060325201619840486,0.0603354199816514,1.6582790506700522,
layered,rw_mh,0,40,4,0.3,0.45,0.25,uniform,10,30,0.005228042020462453,8.435430227517736,3.393341231038162,17.834623923151465,0.4037991866572772,0.7077174088036084,8.672534599815409,0.0304
layered,single_site_gibbs,0,40,4,0.3,0.45,0.25,shallow,10,30,0.06921041698660702,344.1118830281672,185.03210539091813,500.0,0.06435609661044288,0.1077214901048094,1.90563534623052,
layered,block_gibbs,0,40,4,0.3,0.45,0.25,shallow,10,30,0.24239104200387374,319.9780699347801,140.09359002343572,500.0,0.08263405319699424,0.0967149923645607,1.9236156960784376,
layered,rw_mh,0,40,4,0.3,0.45,0.25,shallow,10,30,0.004933707998134196,8.6067954579238,3.2437119077489704,21.23746436452591,0.4301202609859562,0.6969127877993702,11.544392782122769,0.048
