graph_type,method,repetition,dimension,depth,sparsity,correlation,observed_fraction,observation_strategy,n_observed,n_latent,runtime_seconds,ess_mean,ess_min,ess_max,mean_rmse,variance_rmse,covariance_frobenius_error,acceptance_rate
layered,single_site_gibbs,0,40,4,0.5,0.7,0.25,deep,10,30,0.12845270801335573,397.2606958897334,153.66831798076834,865.7257744816336,0.0733702367581057,0.09580614051741411,1.8610564637246225,
layered,block_gibbs,0,40,4,0.5,0.7,0.25,deep,10,30,0.4610687080421485,373.04656809227475,116.50248388720574,1000.0,0.058139251729847186,0.10097517716878876,1.7503309804411238,
layered,rw_mh,0,40,4,0.5,0.7,0.25,deep,10,30,0.009948917024303228,9.229318024209567,3.729377556679931,36.105516574107114,0.5178405643635424,0.8397420575680279,11.825375964067918,0.0344
layered,single_site_gibbs,0,40,4,0.5,0.7,0.25,uniform,10,30,0.130403709015809,400.1742444136231,185.29394821168395,862.2209900182074,0.05921274247600803,0.09934878254353526,1.7294997697488153,
layered,block_gibbs,0,40,4,0.5,0.7,0.25,uniform,10,30,0.46050849999301136,391.4958013775321,187.13139209642222,888.3250497181557,0.055165085895672386,0.08733511211937742,1.7719317819617415,
layered,rw_mh,0,40,4,0.5,0.7,0.25,uniform,10,30,0.01004208397353068,11.256636845941777,4.568440240326623,23.33741437896508,0.5120413502126426,0.7353854185066764,10.666328299916803,0.034
layered,single_site_gibbs,0,40,4,0.5,0.7,0.25,shallow,10,30,0.13233233301434666,328.2953955795841,99.92248601498791,777.7520850147203,0.05901666274368449,0.17157667155931483,2.988953099737691,
layered,block_gibbs,0,40,4,0.5,0.7,0.25,shallow,10,30,0.48439441598020494,317.26800542895495,146.13961546670248,677.5181386633969,0.07670177666577292,0.16372553717645155,2.5510427413931143,
layered,rw_mh,0,40,4,0.5,0.7,0.25,shallow,10,30,0.01009529095608741,8.165225991203197,3.5929280028274353,20.845646839071804,0.7936688162922955,1.1566382727401914,13.81686631386929,0.0272
layered,single_site_gibbs,0,40,4,0.5,0.75,0.25,deep,10,30,0.131216540990863,379.9381567783202,149.05917140382087,871.2740187388303,0.04937038324990145,0.09464367027022944,1.5177382539584456,
layered,block_gibbs,0,40,4,0.5,0.75,0.25,deep,10,30,0.45691429200815037,434.398135047761,166.78630247819,882.850089109109,0.05505823948558406,0.08002626871827274,1.3665069328098018,
