observation_strategy,method,dimension,variance_rmse_mean,variance_rmse_std,n_runs
deep,block_gibbs,40,0.3331065496701615,0.44727564399067565,120
deep,rw_mh,40,3.033597756432073,1.95172409676112,120
deep,single_site_gibbs,40,0.3643228207504322,0.442289337179331,120
shallow,block_gibbs,40,1.5469059153579559,2.233874936623685,120
shallow,rw_mh,40,7.369307888687854,5.288398936079904,120
shallow,single_site_gibbs,40,1.611505959714575,1.8829672608425636,120
uniform,block_gibbs,40,0.7777133237027722,1.0983642729202796,120
uniform,rw_mh,40,4.6547513050697935,2.990502481258345,120
uniform,single_site_gibbs,40,0.6748452186622987,0.681265386251081,120
