observation_strategy,method,correlation,runtime_seconds_mean,runtime_seconds_std,n_runs
deep,block_gibbs,0.7,0.4647509082045872,0.010019154537092692,10
deep,block_gibbs,0.75,0.4557064126012847,0.005650025318693421,10
deep,block_gibbs,0.8,0.4641911544080358,0.014930680027684844,10
deep,block_gibbs,0.85,0.46106494999257847,0.009495393886912947,10
deep,block_gibbs,0.9,0.45790821251575836,0.008792104378091302,10
deep,block_gibbs,0.95,0.45747786668362095,0.0036343225755584244,10
deep,block_gibbs,1.0,0.4677257250994444,0.03000595473533606,10
deep,block_gibbs,1.05,0.4604673419089522,0.005436254197341304,10
deep,block_gibbs,1.1,0.46034451670129783,0.01217952719274481,10
deep,block_gibbs,1.15,0.48154565001023003,0.052433626008190154,10
deep,block_gibbs,1.2,0.45810204570298085,0.006821617084267549,10
deep,block_gibbs,1.25,0.45820227900403554,0.00415078196890226,10
deep,rw_mh,0.7,0.010052583506330847,0.00010346170600348236,10
deep,rw_mh,0.75,0.010810174996731804,0.0027076658836442825,10
deep,rw_mh,0.8,0.009950312395812944,0.0001371109299732015,10
deep,rw_mh,0.85,0.009992770588723943,0.00015351004499396785,10
deep,rw_mh,0.9,0.010030987596837803,0.00022895694731418743,10
deep,rw_mh,0.95,0.009949600213440135,0.00014203621363216367,10
deep,rw_mh,1.0,0.010053741501178593,0.00031639458745812995,10
deep,rw_mh,1.05,0.00995527090271935,6.882489421671708e-05,10
deep,rw_mh,1.1,0.010245233390014619,0.0006917655379795797,10
deep,rw_mh,1.15,0.01002294589416124,0.00024070055532984496,10
deep,rw_mh,1.2,0.00992000852129422,0.00010822413788606227,10
deep,rw_mh,1.25,0.00992526660556905,0.00016274360254337272,10
deep,single_site_gibbs,0.7,0.13152686250396073,0.0018889192330879513,10
deep,single_site_gibbs,0.75,0.13585180399240926,0.009830143499139547,10
deep,single_site_gibbs,0.8,0.13314001660910435,0.003203439754301697,10
deep,single_site_gibbs,0.85,0.13173449159949085,0.0011359879515733372,10
deep,single_site_gibbs,0.9,0.1321837207011413,0.0021646002393349703,10
deep,single_site_gibbs,0.95,0.13150805831537582,0.0017219841108976066,10
deep,single_site_gibbs,1.0,0.13184015000588262,0.0008581023783280682,10
deep,single_site_gibbs,1.05,0.13151611260836943,0.0005304519105639419,10
deep,single_site_gibbs,1.1,0.13262932508368977,0.004659884324713042,10
deep,single_site_gibbs,1.15,0.1514855751011055,0.06376445057696815,10
deep,single_site_gibbs,1.2,0.13169513749307954,0.0014506098186262558,10
deep,single_site_gibbs,1.25,0.1310408124118112,0.0012283497093512287,10
shallow,block_gibbs,0.7,0.4593934789998457,0.018686471227171774,10
shallow,block_gibbs,0.75,0.4647073542058934,0.023715180554913142,10
shallow,block_gibbs,0.8,0.45526797079946846,0.01647486247381558,10
shallow,block_gibbs,0.85,0.4564241417159792,0.024728349254731993,10
shallow,block_gibbs,0.9,0.45064813779317775,0.004531719965692321,10
shallow,block_gibbs,0.95,0.45053134569898245,0.0044350549355984675,10
shallow,block_gibbs,1.0,0.4542243125848472,0.014423522476491205,10
shallow,block_gibbs,1.05,0.45521371230715885,0.012324222327450306,10
shallow,block_gibbs,1.1,0.45493305840645915,0.009091600532119513,10
shallow,block_gibbs,1.15,0.45573505440261214,0.018169574363133968,10
shallow,block_gibbs,1.2,0.448819787602406,0.0052657124203532805,10
shallow,block_gibbs,1.25,0.44595354149350896,0.004694459752213118,10
shallow,rw_mh,0.7,0.010097254387801513,0.00044466721985941403,10
shallow,rw_mh,0.75,0.010219937399961054,0.0006072870340813115,10
shallow,rw_mh,0.8,0.009950045903678983,0.00010112276267389757,10
shallow,rw_mh,0.85,0.010360187396872788,0.0012165437528102337,10
shallow,rw_mh,0.9,0.010027145908679813,0.000272532746244237,10
shallow,rw_mh,0.95,0.009956583194434643,8.920622865796325e-05,10
shallow,rw_mh,1.0,0.009971641597803681,8.50021860785228e-05,10
shallow,rw_mh,1.05,0.009958133194595575,0.0001561809964435107,10
shallow,rw_mh,1.1,0.01002360429847613,0.00034093884667937114,10
shallow,rw_mh,1.15,0.009926845814334229,0.00010170475615767898,10
shallow,rw_mh,1.2,0.009913575008977205,0.00014469663458937864,10
