observation_strategy,method,dimension,runtime_seconds_mean,runtime_seconds_std,n_runs
deep,block_gibbs,40,0.46229058856940053,0.01949582328089135,120
deep,rw_mh,40,0.010075741342734545,0.0008197580996733704,120
deep,single_site_gibbs,40,0.1338460055354517,0.018669297573342663,120
shallow,block_gibbs,40,0.45432099133419496,0.014955704577182762,120
shallow,rw_mh,40,0.010023113192194918,0.00044033383227262885,120
shallow,single_site_gibbs,40,0.13285200376849388,0.0092130437477732,120
uniform,block_gibbs,40,0.4554897035142252,0.01387617979388682,120
uniform,rw_mh,40,0.01015795727338021,0.0010680508968628234,120
uniform,single_site_gibbs,40,0.1325735645305637,0.007702729347200177,120
