observation_strategy,method,sparsity,ess_mean_mean,ess_mean_std,n_runs
deep,block_gibbs,0.5,290.2669925255747,100.997319232801,120
deep,rw_mh,0.5,6.829736696996098,11.751669605792356,120
deep,single_site_gibbs,0.5,220.00615633885016,86.37024776036915,120
shallow,block_gibbs,0.5,128.06225163906697,76.8476564372592,120
shallow,rw_mh,0.5,10.192485119758254,24.468159858142243,120
shallow,single_site_gibbs,0.5,121.06991503794285,75.34643978701166,120
uniform,block_gibbs,0.5,198.02537077815867,88.98613223198869,120
uniform,rw_mh,0.5,6.577998436900852,9.985841365377293,120
uniform,single_site_gibbs,0.5,165.0696161136976,84.19208513990976,120
